Programs,Stimulation Score,TV or YouTube,Target Age Group,Seasons,,Avg. Epsiode,"Themes, Teachings, Guidance",Interactivity Level,Animation Styles,Dialougue Intensity,Sound Effects,Music Tempo,Total Music,Total Sound Effect Time,Scene Frequency
Vlad and Nikki,5,YouTube,3-8,,,,"Learn Through Play, Creativity & Imagination, Problem Solving, Adventure, Family Relationships, Multi-Lingual Learning, Humor, Entertainment, Hyper-Activity",Low,"Live-action videos featuring Vlad and Niki, often enhanced with special effects and animations to create engaging and fantastical elements.",High,Very-High,High,High,Very-High (Repetative) ,High
Vooks,2,YouTube,2-8,,,,"Creativity & Imagination, Literacy, Reading Comprehension, Vocabulary, Language Learning, Phonics, Cognitive Development, Music, Speech Development, Read-Along",High,"Animated adaptations of children's books, featuring subtle animations that complement the original illustrations, accompanied by professional narration and sound effects.",Moderate,Low-Moderate,Moderate,Moderate-High,Moderate-High,Low-Moderate
Wacky Races,5,TV,6-10,1 Season,,11 minutes,"Creativity & Imagination, Adventure, Humor, Entertainment, Perseverance, Slapstic Comedy, Mechanics, Engineering Concepts, Lack of Consequences, Mild Intense Scenes, Mild Violent themes",Low,Cartoonish 2D animation style,Moderate-High,Very-High,High,High,Very-High,Moderate
Wallykazam,3,TV,3-6,2 Seasons,,26 minutes,"Elementary-Basics, Motor Skills, Problem Solving, Language Learning, Literacy, Fantasy Elements, Reading Comprehension, Phonics",High,3D CGI Animation with bright and vibrant colors. Color Palette: Bright and cheerful colors with high saturation.,High,Moderate,Moderate,Moderate-High,Moderate,Very-High
"What's New, Scooby-Doo? (2002–2006)",5,TV,7-12,,,22 minutes,"Problem Solving, Teamwork, Mystery, Entertainment, Humor, Critical Thinking, Mild Peril, Mild Fantasy Violence",Low,Digital 2D animation,Moderate-High,High,High,High,High,Moderate
Wishenpoof,3,TV,3-6,2 Seasons,,24 minutes,"Creativity & Imagination, Social-Emotional, Problem Solving, Social Development, Morality, Emotional Intelligence",High,"3D CGI Animation with stylized and colorful designs. Bright but not overly saturated colors, with a focus on vibrant settings.",High,Moderate,Moderate,Moderate-High,Moderate,High
Woolly and Tig,2,TV,2-5,2 Seasons,,5 minutes,"Overcoming Fears, Social-Emotional, Relatable Situations, Courage, Emotional Intelligence",Moderate,Combination of live-action and CGI animation.,Moderate,Low-Moderate,Moderate,Moderate,Low-Moderate,Moderate
Work It Out Wombats,3,TV,4-7,1 Season,,26 minutes,"Life Lessons, Problem Solving, Teamwork, Critical Thinking, Social-Emotional, Relatable Situations",High,2D digital animation with a hand-drawn look. Bright and cheerful colors with simple backgrounds,Moderate-High,Moderate,Moderate,Moderate-High,Moderate,Low-Moderate
Xavier Riddle and the Secret Museum,3,TV,5-8,2 Seasons,,26 minutes,"Cultures & Traditions, Life Lessons, History, Morality, Problem Solving, Curiosity, Courage, Adventure",High,2D Digital Animation with a watercolor aesthetic. Color Palette: Soft and natural colors with pastel hues.,Moderate-High,Moderate,Moderate,Moderate,Moderate,Moderate
Zaky & friends,3,YouTube,3-8,,,,"Life Lessons, Cultures & Traditions, Learning through Songs, Cultural Appreciation, Spiritual Development, Quranic stories, Religion, Literacy, Numeracy, Social Development, Social-Emotional, Emotional Intelligence",High,2D Digital Animation with bright colors. Color Palette: Vibrant and engaging.,Moderate-High,Moderate,Moderate,Moderate-High,Moderate,Low-Moderate
Zoboomafoo (1999-2001),3,TV,4-8,2 Seasons,,26 minutes,"Enviromental Awareness, Wildlife Exploration, Animals,Curiosity, Nature, Wildlife Conservation",Moderate,"Live-action, puppetry, and animation",High,Moderate,Moderate-High,High,Moderate,Moderate-High
dino ranch,3,TV,3-6,3 Seasons,,11 minutes,"Teamwork, Responsibility, Problem Solving, Adventure, Dinosaurs",Moderate,3D CGI animation,Moderate,Moderate,Moderate-High,Moderate,Moderate-High,Moderate
